Distance,SNR,TOF,Label
5.332624435424805, 15.955760955810547, 1951, 0
2.3362696170806885, 14.681951522827148, 2055, 0
2.447219133377075, 16.9713134765625, 2842, 0
5.210519790649414, 15.217525482177734, 2884, 0
5.332624435424805, 12.41950511932373, 3096, 0
5.332624435424805, 16.620590209960938, 3011, 0
5.134897708892822, 24.015727996826172, 1920, 1
0.712520182132721, 20.612096786499023, 779, 1
0.5705255270004272, 16.713329315185547, 668, 1
0.7362570762634277, 20.333406448364258, 1121, 1
5.332624435424805, 11.730679512023926, 1740, 0
1.9515588283538818, 19.42755889892578, 1821, 0
2.192471504211426, 15.582893371582031, 3130, 0
5.088414669036865, 14.360601425170898, 4107, 0
2.2799971103668213, 12.447793960571289, 3936, 0
2.340099573135376, 12.799229621887207, 2681, 0
1.849280834197998, 11.417423248291016, 1685, 0
0.9918872714042664, 21.17685317993164, 832, 1
0.9663625359535217, 29.8802490234375, 461, 1
0.4622240960597992, 30.474788665771484, 490, 1
1.0726473331451416, 24.85379409790039, 551, 1
0.7453718781471252, 25.679189682006836, 690, 1
1.2134915590286255, 19.561073303222656, 1406, 0
1.3067539930343628, 22.775239944458008, 1579, 0
1.603731393814087, 26.669464111328125, 2125, 0
2.30153751373291, 12.79765510559082, 3563, 0
5.454730033874512, 12.70407485961914, 2845, 0
1.8472352027893066, 16.470556259155273, 3080, 0
1.9673142433166504, 17.522472381591797, 2632, 0
5.576834678649902, 10.090873718261719, 3790, 0
2.0837273597717285, 16.317651748657227, 3671, 0
1.9742629528045654, 16.043611526489258, 2870, 0
1.6018379926681519, 20.503658294677734, 1366, 1
1.1954416036605835, 22.626708984375, 608, 1
1.24116849899292, 27.82512664794922, 405, 1
0.9424007534980774, 21.787033081054688, 1095, 1
1.707668423652649, 19.615957260131836, 1454, 0
1.7283384799957275, 15.843387603759766, 1772, 0
1.8247922658920288, 24.875337600708008, 2404, 0
1.817000389099121, 22.96394157409668, 2216, 0
1.6029760837554932, 20.475244522094727, 1719, 0
1.34593665599823, 19.789142608642578, 1288, 0
1.5473663806915283, 21.913175582885742, 1254, 1
0.9435003995895386, 29.03411865234375, 645, 1
1.3282086849212646, 24.98554229736328, 331, 1
1.1829009056091309, 28.171085357666016, 361, 1
0.38046351075172424, 23.994352340698242, 370, 1
0.49644747376441956, 27.579214096069336, 431, 1
0.6111087203025818, 31.14337921142578, 756, 1
1.704736351966858, 17.28980255126953, 1525, 1
1.46133553981781, 14.180976867675781, 1843, 0
1.6056545972824097, 25.241188049316406, 1667, 0
1.6832516193389893, 20.032859802246094, 1665, 0
1.6832678318023682, 23.833145141601562, 1593, 0
1.3560231924057007, 21.620969772338867, 1326, 0
1.215248703956604, 23.943504333496094, 1285, 1
0.5998255014419556, 23.000595092773438, 1201, 1
1.5473663806915283, 16.669021606445312, 1013, 1
1.2298190593719482, 30.49797248840332, 660, 1
1.238660454750061, 26.956165313720703, 809, 1
0.7427161931991577, 29.90169906616211, 1226, 1
1.5990016460418701, 18.214597702026367, 1694, 0
2.1890132427215576, 14.847213745117188, 1962, 0
5.128577709197998, 17.707897186279297, 2355, 0
2.3360650539398193, 15.946755409240723, 3951, 0
5.210519790649414, 10.188446044921875, 3305, 0
1.3031561374664307, 10.637205123901367, 1797, 1
1.363208293914795, 13.125042915344238, 943, 1
0.5956525206565857, 19.427244186401367, 585, 1
1.6694715023040771, 18.472938537597656, 544, 1
0.5705255270004272, 12.76529312133789, 556, 1
1.6797810792922974, 11.594133377075195, 614, 1
1.972968578338623, 13.537269592285156, 1499, 0
1.9504441022872925, 18.343393325805664, 3427, 0
2.0858962535858154, 17.304471969604492, 3554, 0
5.332624435424805, 13.745441436767578, 3453, 0
2.814511299133301, 12.681734085083008, 3987, 0
5.362585067749023, 17.235029220581055, 4000, 0
5.088414669036865, 14.317434310913086, 3822, 1
5.332624435424805, 12.150101661682129, 3813, 1
1.9516257047653198, 14.041524887084961, 2301, 1
1.5756481885910034, 16.556625366210938, 1250, 1
1.3616516590118408, 12.73856258392334, 886, 1
1.2033970355987549, 17.37908935546875, 785, 1
1.5935081243515015, 17.656152725219727, 1347, 1
2.095496654510498, 14.464072227478027, 2010, 1
2.2799971103668213, 14.240345001220703, 2159, 0
2.409679651260376, 19.49853515625, 2769, 0
5.359097003936768, 16.326597213745117, 4159, 0
5.262635231018066, 17.19719696044922, 4130, 0
2.2013511657714844, 12.244953155517578, 4166, 0
1.4252612590789795, 12.016302108764648, 1688, 0
1.4421164989471436, 24.344615936279297, 1258, 1
1.241439700126648, 29.065521240234375, 605, 1
0.7420065999031067, 15.86735725402832, 1041, 1
1.3252605199813843, 19.04107666015625, 1340, 1
1.103423833847046, 16.162431716918945, 1128, 1
1.309577226638794, 18.41697883605957, 1163, 1
1.349674105644226, 25.908756256103516, 1662, 1
5.377860069274902, 16.50282859802246, 4101, 1
5.227299690246582, 10.962289810180664, 4144, 0
5.454730033874512, 13.154989242553711, 4312, 0
5.269749641418457, 17.545448303222656, 4136, 0
2.0473973751068115, 16.252601623535156, 4155, 0
1.7193591594696045, 16.388103485107422, 4039, 1
5.454730033874512, 13.495732307434082, 4140, 1
1.4656342267990112, 20.401803970336914, 864, 1
5.210519790649414, 13.33737564086914, 559, 1
1.56937575340271, 16.684463500976562, 2091, 1
2.2147274017333984, 10.69708251953125, 4209, 1
1.9277722835540771, 14.871200561523438, 4097, 1
2.3175394535064697, 14.694680213928223, 4185, 0
0, 0, 3918, 0
2.3304333686828613, 12.74772834777832, 4019, 0
2.3341798782348633, 12.634696006774902, 3864, 1
5.454730033874512, 12.742414474487305, 2480, 1
