1560848659527	75.252655	-35.959610	-111.050964	0.898221	-0.015301	-0.031368	-0.438156	img__0_1560848659520916800.png
1560848659812	75.252655	-35.959610	-111.050964	0.898221	-0.015301	-0.031368	-0.438156	img__0_1560848659803482600.png
1560848660360	75.252655	-35.959610	-111.050964	0.905731	-0.014751	-0.031630	-0.422413	img__0_1560848660355928700.png
1560848660633	75.252655	-35.959610	-111.050964	0.890132	-0.019805	-0.038865	-0.453610	img__0_1560848660627388800.png
1560848660929	75.252655	-35.959610	-111.050964	0.887589	-0.039572	-0.077655	-0.452315	img__0_1560848660923331900.png
1560848661215	75.252655	-35.959610	-111.050964	0.887589	-0.039572	-0.077655	-0.452315	img__0_1560848661209685900.png
1560848661513	75.252655	-35.959610	-111.050964	0.893239	-0.027243	-0.054634	-0.445418	img__0_1560848661507900500.png
1560848661808	75.252655	-35.959610	-111.050964	0.869800	-0.050682	-0.091421	-0.482204	img__0_1560848661802477200.png
1560848662102	75.252655	-35.959610	-111.050964	0.845316	-0.068206	-0.111289	-0.518077	img__0_1560848662096268800.png
1560848662406	75.252655	-35.959610	-111.050964	0.820957	-0.049370	-0.071826	-0.564299	img__0_1560848662401346500.png
1560848662683	75.252655	-35.959610	-111.050964	0.840150	-0.046833	-0.073505	-0.535305	img__0_1560848662675943100.png
1560848662960	75.252655	-35.959610	-111.050964	0.845950	-0.036969	-0.059156	-0.528679	img__0_1560848662956254800.png
1560848663245	75.252655	-35.959610	-111.050964	0.822962	-0.029646	-0.043131	-0.565680	img__0_1560848663240667400.png
1560848663527	75.252655	-35.959610	-111.050964	0.808489	-0.020515	-0.028234	-0.587476	img__0_1560848663522763900.png
1560848663831	75.252655	-35.959610	-111.050964	0.818993	-0.010011	-0.014297	-0.573537	img__0_1560848663827136700.png
1560848664109	75.252655	-35.959610	-111.050964	0.812563	-0.035454	-0.049700	-0.579668	img__0_1560848664104143800.png
1560848664408	75.327965	-36.191563	-113.037125	0.807474	-0.035886	-0.049388	-0.586736	img__0_1560848664403000200.png
1560848664695	75.441406	-36.540859	-116.028191	0.807474	-0.035886	-0.049388	-0.586736	img__0_1560848664690096100.png
1560848664975	75.539490	-36.869411	-118.821335	0.786506	-0.037588	-0.048106	-0.614558	img__0_1560848664969212500.png
1560848665261	75.612808	-37.210037	-121.659317	0.781114	-0.038006	-0.047776	-0.621397	img__0_1560848665256260100.png
1560848665546	75.691330	-37.529415	-124.337799	0.775662	-0.038422	-0.047443	-0.628189	img__0_1560848665540460000.png
1560848665821	75.713394	-37.637966	-125.240128	0.747523	-0.040455	-0.045722	-0.661424	img__0_1560848665816563000.png
1560848666108	75.713394	-37.637966	-125.240128	0.717961	-0.042410	-0.043914	-0.693401	img__0_1560848666103227000.png
1560848666402	75.713394	-37.637966	-125.240128	0.710499	-0.061092	-0.062162	-0.698280	img__0_1560848666396063900.png
1560848666698	75.713394	-37.637966	-125.240128	0.684545	-0.075826	-0.071950	-0.721437	img__0_1560848666691216700.png
1560848666992	75.713394	-37.637966	-125.240128	0.667028	-0.058310	-0.052497	-0.740889	img__0_1560848666987869400.png
